Key,Description,Standard
SAY.Flowchart.1.,,"Finally, I've arrived in Shanghai. As I get off the plane, I follow the huge crowd of people  walking towards the exit... "
SAY.Flowchart.174.,,"There's a female officer who seems to be fighting through the crowd, heading in my direction. Wait a second... why is she approaching me?"
SAY.Flowchart.2.,,"She stops literally two feet from me, waves, and says... "
SAY.Flowchart.14.警察,,Nǐ hǎo!
SAY.Flowchart.12.,,Oh boy... The Chinese is already coming. What did she just say?!
MENU.Flowchart.28,,REPEAT
MENU.Flowchart.9,,Hi
MENU.Flowchart.18,,How are you?
MENU.Flowchart.19,,You're good!
MENU.Flowchart.20,,Bye!
SAY.Flowchart.15.,,You have a strong feeling that you answered correctly...
SAY.Flowchart.27.,,It would be mighty impolite not to respond after someone just said hi to you. 
SAY.Flowchart.17.,,"For some reason, I don't quite feel confident in my answer...  Let me rethink tihs. "
SAY.Flowchart.26.,,How will you respond?
MENU.Flowchart.38,,Re-imagine what she said...
MENU.Flowchart.25,,Nǐ ne 
MENU.Flowchart.35,,Lǐ mào
MENU.Flowchart.36,,Nǐ hǎo
MENU.Flowchart.37,,Nǐ shì 
MENU.Flowchart.106,,Who are you!? 
SAY.Flowchart.39.,,"I wave back, clear my throat, and give my best sounding... nǐ hǎo! "
SAY.Flowchart.43.警察,,The cop nods her head in approval.
SAY.Flowchart.41.警察,,什么? The cop gives you a confused look. 
SAY.Flowchart.32.警察,,你好!
SAY.Flowchart.49.,,Wǒ jiào Lily.
SAY.Flowchart.53.,,What is she trying to say!? 
MENU.Flowchart.45,,Recall what she said
MENU.Flowchart.55,,I like Lily.
MENU.Flowchart.57,,I will call Lily.
MENU.Flowchart.52,,I'm Lily.
MENU.Flowchart.56,,Where's Lily?
SAY.Flowchart.54.,,"Slowly, but surely, I feel like I'll be able to learn Chinese just fine..."
SAY.Flowchart.70.,,I begin walking towards the baggage claim to get my luggage. The cop continues to walk alongside me... 
SAY.Flowchart.58.,,"Hmm... I can't shake the feeling that that's not right. Come on, I've got this..."
SAY.Flowchart.65.警察,,Nǐ jiào shénme míngzì?
SAY.Flowchart.176.,,More Chinese... What could she possibly be saying now? 
MENU.Flowchart.66,,Motion for her to repeat...
MENU.Flowchart.69,,What’s your name?
MENU.Flowchart.74,,Who do you think you are!?
MENU.Flowchart.75,,Who are you?
MENU.Flowchart.76,,Do you know where you’re going?
SAY.Flowchart.77.,,I feel even more confident now that I realize she's probably asking me for my name... 
SAY.Flowchart.78.,,"Well, time to answer...."
SAY.Flowchart.79.,,"No... that can't be right. Let me rethink this... She just intorduced her name, so she must be asking..."
SAY.Flowchart.85.,,How will you respond? 
MENU.Flowchart.89,,Remember how the cop introduced herself...
MENU.Flowchart.91,,Wǒ jiào...
MENU.Flowchart.92,,wǒ hěn hǎo...
MENU.Flowchart.93,,Nǐ hǎo...
MENU.Flowchart.94,,Míngzì...
